日期,最高气温,最低气温,天气
2023-10-26,20,15,小雨
2023-10-27,23,14,阴~多云
2023-10-28,22,14,多云~阴
2023-10-29,21,15,阴~多云
2023-10-30,23,16,阴
2023-10-31,21,15,阴~多云
2023-11-01,22,15,多云~小雨
2023-11-02,22,16,雾~阴
2023-11-03,21,13,雾~晴
2023-11-04,21,14,雾~多云
2023-11-05,25,11,雾~阴
2023-11-06,23,12,多云
2023-11-07,22,14,阴~多云
2023-11-08,20,14,雾~多云
2023-11-09,25,14,多云~阴
2023-11-10,22,15,阴~小雨
2023-11-11,19,11,雾~小雨
2023-11-12,10,8,小雨~多云
2023-11-13,13,8,阴
2023-11-14,12,10,雾~小雨
2023-11-15,16,6,阴~多云
2023-11-16,17,6,多云~阴
2023-11-17,17,6,雾~晴
2023-11-18,15,7,多云~阴
2023-11-19,18,8,多云~晴
2023-11-20,16,10,多云
2023-11-21,15,11,多云~阴
2023-11-22,21,10,雾~晴
2023-11-23,20,11,雾~多云
2023-11-24,15,11,多云~小雨
2023-11-25,17,7,多云
2023-11-26,22,8,晴~多云
2023-11-27,19,8,雾~多云
2023-11-28,19,10,多云
2023-11-29,17,10,雾~阴
2023-11-30,15,10,阴
2023-12-01,12,8,阴
2023-12-02,11,8,阴~多云
2023-12-03,15,7,雾~多云
2023-12-04,17,9,多云~阴
2023-12-05,12,6,雾~多云
2023-12-06,18,4,雾~晴
2023-12-07,15,8,多云~阴
2023-12-08,16,7,多云
2023-12-09,16,9,多云~阴
2023-12-10,14,10,多云~阴
2023-12-11,19,7,雾~多云
2023-12-12,17,6,阴~多云
2023-12-13,14,10,雾~多云
2023-12-14,16,6,多云~阴
2023-12-15,8,2,阴~多云
2023-12-16,4,1,阴~晴
2023-12-17,4,3,阴
2023-12-18,9,0,多云~晴
2023-12-19,10,1,晴
2023-12-20,9,4,阴
2023-12-21,10,3,多云
2023-12-22,9,1,多云
2023-12-23,9,0,多云~晴
2023-12-24,12,2,多云
2023-12-25,11,0,多云
2023-12-26,14,2,多云~晴
2023-12-27,14,4,多云~阴
2023-12-28,10,6,多云
2023-12-29,16,5,多云~晴
2023-12-30,13,4,多云~阴
2023-12-31,13,4,阴~多云
